"Customer_id","Invoice_id","Product_Rating"
9810,"S13412800074","4/5"
7624,"S12253500046","2/5"
8924,"INV-01212300022","1/5"
6692,"S32151500080","1/5"
2986,"S05547300225","4/5"
9613,"S05172100068","4/5"
7351,"S07256800027","3/5"
6513,"INV-05924700112","4/5"
9457,"S11337000088","3/5"
1117,"INV-00583800014","3/5"
6276,"S21816600020","5/5"
6863,"S16583300027","1/5"
5642,"S17962600259","2/5"
9504,"S30113900002","5/5"
2367,"S23984800076","5/5"
9439,"S17371900161","2/5"
1101,"S07974800030","4/5"
1072,"INV-05001400046","5/5"
2796,"INV-07227500045","3/5"
6098,"S11006800112","1/5"
3185,"S03441800048","1/5"
2827,"S32454300057","3/5"
2446,"S14908600207","5/5"
2567,"S05480600058","1/5"
5120,"S33294200067","5/5"
8302,"S19665000031","5/5"
6652,"S24359400033","3/5"
4647,"S20999100098","1/5"
3486,"INV-05127000101","1/5"
5727,"INV-09056100153","1/5"
4149,"INV-07922600037","4/5"
2472,"S09085100069","4/5"
7071,"INV-09491000004","3/5"
8202,"INV-00066400004","2/5"
4185,"S06680300095","5/5"
6726,"INV-00843400012","2/5"
3933,"INV-07000200079","4/5"
8197,"S06068300078","1/5"
3639,"INV-08115000009","5/5"
7370,"INV-06251300001","5/5"
3535,"S13635800001","1/5"
6990,"INV-09118200012","5/5"
6267,"S27646500014","4/5"
2377,"INV-09058000012","4/5"
2708,"S32678400012","5/5"
5860,"S09734400036","2/5"
2921,"S30903300053","3/5"
3792,"S14084300021","4/5"
1725,"INV-02789300009","2/5"
1910,"S29543800047","3/5"
5433,"S06833300046","5/5"
1381,"S11199500050","3/5"
9348,"S19487500048","1/5"
1706,"S15827200092","1/5"
9299,"S20501500008","5/5"
7253,"INV-06990200127","1/5"
8231,"S20887700074","5/5"
4743,"S24961800032","3/5"
9161,"S13789500111","2/5"
9746,"S11697500001","4/5"
6626,"INV-02009200062","2/5"
1989,"INV-03808800208","2/5"
6963,"S30485000003","1/5"
9348,"S29561200052","5/5"
7581,"S23029700048","5/5"
2242,"S27018000044","5/5"
2259,"S34054300010","2/5"
5803,"S33212400009","5/5"
9366,"S17070700017","3/5"
5674,"S31922800005","1/5"
5458,"INV-04003400012","4/5"
8162,"S26885900037","2/5"
9684,"INV-08396700008","2/5"
6241,"INV-08105800252","1/5"
9123,"S04990800024","3/5"
7624,"S21664300008","2/5"
5701,"INV-04855000108","2/5"
7856,"S26508800209","3/5"
3157,"S11590400022","5/5"
6594,"S22588400066","5/5"
5372,"S25861500009","1/5"
4815,"S09504700160","2/5"
8919,"INV-05655600021","5/5"
4283,"S29798200052","1/5"
4145,"S26895700050","5/5"
7774,"INV-00924500049","5/5"
5516,"INV-06584300002","3/5"
6444,"S18154300051","1/5"
7213,"S24142200033","1/5"
